prompt_id,type,text,status
00001,vowel,অ,done
00002,vowel,আ,done
00003,vowel,ই,done
00004,vowel,ঈ,done
00005,vowel,উ,done
00006,vowel,ঊ,done
00007,vowel,ঋ,done
00008,vowel,এ,done
00009,vowel,ঐ,done
00010,vowel,ও,done
00011,vowel,ঔ,done
00012,consonant,ক,done
00013,consonant,খ,done
00014,consonant,গ,done
00015,consonant,ঘ,done
00016,consonant,ঙ,done
00017,consonant,চ,done
00018,consonant,ছ,done
00019,consonant,জ,done
00020,consonant,ঝ,done
00021,consonant,ঞ,done
00022,consonant,ট,done
00023,consonant,ঠ,done
00024,consonant,ড,done
00025,consonant,ঢ,done
00026,consonant,ণ,done
00027,consonant,ত,done
00028,consonant,থ,done
00029,consonant,দ,done
00030,consonant,ধ,done
00031,consonant,ন,done
00032,consonant,প,done
00033,consonant,ফ,done
00034,consonant,ব,done
00035,consonant,ভ,done
00036,consonant,ম,done
00037,consonant,য,done
00038,consonant,র,done
00039,consonant,ল,done
00040,consonant,শ,done
00041,consonant,ষ,done
00042,consonant,স,done
00043,consonant,হ,done
00044,consonant,ড়,done
00045,consonant,ঢ়,done
00046,consonant,য়,done
00047,consonant_matra,কা,done
00048,consonant_matra,কি,done
00049,consonant_matra,কী,done
00050,consonant_matra,কু,done
00051,consonant_matra,কূ,done
00052,consonant_matra,কৃ,done
00053,consonant_matra,কে,done
00054,consonant_matra,কৈ,done
00055,consonant_matra,কো,done
00056,consonant_matra,কৌ,done
00057,consonant_matra,খা,done
00058,consonant_matra,খি,done
00059,consonant_matra,খী,done
00060,consonant_matra,খু,done
00061,consonant_matra,খূ,done
00062,consonant_matra,খৃ,done
00063,consonant_matra,খে,done
00064,consonant_matra,খৈ,done
00065,consonant_matra,খো,done
00066,consonant_matra,খৌ,done
00067,consonant_matra,গা,done
00068,consonant_matra,গি,done
00069,consonant_matra,গী,done
00070,consonant_matra,গু,done
00071,consonant_matra,গূ,done
00072,consonant_matra,গৃ,done
00073,consonant_matra,গে,done
00074,consonant_matra,গৈ,done
00075,consonant_matra,গো,done
00076,consonant_matra,গৌ,done
